data,vendas,loja,regiao
8/28/2025,404.52,TK ELEVADORES CHILE S.A.,CHILE
8/28/2025,975.68,TK ELEVADORES CHILE S.A.,CHILE
8/28/2025,169.47,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/28/2025,5783.64,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/28/2025,83.81,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/28/2025,87.02,TK ELEVADORES PERU S.A.C.,PERU
8/28/2025,106.45,TK ELEVADORES PERU S.A.C.,PERU
8/28/2025,393.69,THYSSENKRUPP ELEVADORES S.A.,SOUTH AMERICA
8/28/2025,4488.62,THYSSENKRUPP ELEVADORES S.A.,SOUTH AMERICA
8/28/2025,4557.9,TK ELEVADORES PERU S.A.C.,PERU
8/28/2025,286.26,THYSSENKRUPP ELEVADORES S.R.L,S.R.L
8/28/2025,162.4,THYSSENKRUPP ELEVADORES S.R.L,S.R.L
8/28/2025,16.76,THYSSENKRUPP ELEVADORES S.R.L,S.R.L
8/28/2025,21.77,THYSSENKRUPP ELEVADORES S.R.L,S.R.L
8/28/2025,1507.38,TK ELEVADORES CHILE S.A.,CHILE
8/28/2025,16.71,TK ELEVADORES CHILE S.A.,CHILE
8/28/2025,346.02,TK ELEVADORES CHILE S.A.,CHILE
8/28/2025,12.41,TK ELEVADORES CHILE S.A.,CHILE
8/28/2025,12.84,TK ELEVADORES CHILE S.A.,CHILE
8/28/2025,24.49,TK ELEVADORES CHILE S.A.,CHILE
8/28/2025,16,TK ELEVADORES CHILE S.A.,CHILE
8/28/2025,12.63,TK ELEVADORES CHILE S.A.,CHILE
8/28/2025,451.27,TK ELEVADORES PANAMA S.A.,PANAMA S.A
8/27/2025,163.94,THYSSENKRUPP ELEVADORES S.R.L,S.R.L
8/27/2025,1512.95,THYSSENKRUPP ELEVADORES S.R.L,S.R.L
8/27/2025,132.82,TK ELEVADORES MEXICO S.A. DE C.V.,MEXICO
8/27/2025,77557.53,TK ELEVADORES CHILE S.A.,CHILE
8/27/2025,1694.29,THYSSENKRUPP ELEVADORES S.R.L,S.R.L
8/27/2025,998.59,TK ELEVADORES COLOMBIA S.A.,COLOMBIA
8/27/2025,53.56,TK ELEVADORES COLOMBIA S.A.,COLOMBIA
8/27/2025,854.49,TK ELEVADORES COLOMBIA S.A.,COLOMBIA
8/27/2025,2452.12,THYSSENKRUPP ELEVADORES S.R.L,S.R.L
8/27/2025,168.82,TK ELEVADORES PANAMA S.A.,PANAMA S.A
8/27/2025,302.29,TK ELEVADORES PANAMA S.A.,PANAMA S.A
8/27/2025,109.89,TK ELEVADORES PANAMA S.A.,PANAMA S.A
8/27/2025,1,TK ELEVADORES PANAMA S.A.,PANAMA S.A
8/27/2025,757.88,TK ELEVADORES PERU S.A.C.,PERU
8/27/2025,79.26,TK ELEVADORES PANAMA S.A.,PANAMA S.A
8/27/2025,29.27,TK ELEVADORES PANAMA S.A.,PANAMA S.A
8/27/2025,589.83,TK ELEVADORES CHILE S.A.,CHILE
8/26/2025,159.36,THYSSENKRUPP ELEVADORES S.R.L,S.R.L
8/26/2025,27.52,TK ELEVADORES COLOMBIA S.A.,COLOMBIA
8/26/2025,403.88,TK ELEVADORES COLOMBIA S.A.,COLOMBIA
8/26/2025,1779.53,TK ELEVADORES URUGUAY SRL,URUGUAY
8/26/2025,362.71,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/26/2025,796.05,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/26/2025,642.7,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/26/2025,95.71,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/26/2025,108.61,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/26/2025,174.53,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/26/2025,3155,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/26/2025,904.66,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/26/2025,854.77,TK ELEVADORES CENTROAMERICA S.A,CENTROAMERICA
8/26/2025,681.43,TK ELEVADORES PERU S.A.C.,PERU
8/26/2025,1174.85,TK ELEVADORES PERU S.A.C.,PERU
8/26/2025,681.43,TK ELEVADORES PERU S.A.C.,PERU
8/26/2025,3761.97,TK ELEVADORES PERU S.A.C.,PERU
8/26/2025,4367.3,TK ELEVADORES PERU S.A.C.,PERU
8/26/2025,3036.66,TK ELEVADORES PERU S.A.C.,PERU
8/26/2025,5043.31,TK ELEVADORES PERU S.A.C.,PERU
8/26/2025,186.07,TK ELEVADORES PERU S.A.C.,PERU
8/26/2025,661.99,TK ELEVADORES PERU S.A.C.,PERU
8/25/2025,81928.32,TK ELEVADORES URUGUAY SRL,URUGUAY
8/25/2025,5176.68,THYSSENKRUPP ELEVADORES S.R.L,S.R.L
